Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,:Rdeltoid,,,:RMidArm,,,:RElbRadial,,,:RElbUlna,,,:RMidForeArm,,,:RWrist1,,,:RWrist2,,,:RFingerJoint,,,:LDeltoid,,,:LMidArm,,,:LElbRadial,,,:LElbUlna,,,:LMidForearm,,,:Lwrist1,,,:LWrist2,,,:LFingerJoint,,,:C7,,,:Neck,,,:MidSternum,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
29,0,444.08786,52.414631,896.308044,438.056519,99.597633,776.501648,426.737091,100.36132,624.757507,455.325134,67.34893,618.095093,315.707489,35.284023,586.823303,289.697662,18.66699,525.534485,284.816711,-17.209291,567.618347,264.980621,-71.653732,510.973328,389.554779,-134.895294,960.738953,393.167725,-297.362091,927.621643,415.060181,-391.774628,901.859314,461.821777,-376.166565,893.093567,371.595032,-372.699371,826.698364,361.796692,-370.077393,698.984009,367.269348,-318.544434,706.461792,370.914093,-313.302643,632.067993,450.489624,-50.902367,936.215088,356.329071,-47.436005,855.431091,340.698486,-65.659355,772.581726
30,0,443.856354,52.547882,896.296997,437.845581,99.684265,776.53418,426.512909,100.537086,624.7453,455.174927,67.561096,618.07373,315.614441,35.323635,586.798401,289.165771,18.314312,525.82251,284.865326,-16.607885,567.285889,264.961731,-71.678543,510.945374,389.35257,-134.776367,960.686707,393.053528,-297.249054,927.514038,414.994293,-391.707489,901.678833,461.718842,-375.998413,892.947632,371.373016,-372.538666,826.713867,361.680298,-370.098785,698.827271,367.109406,-318.590698,706.296997,370.856628,-313.360229,631.883301,450.235107,-50.408203,936.218506,356.238922,-47.382763,855.353088,340.639801,-65.613617,772.44519
31,0,443.614197,52.668163,896.274292,437.610687,99.809517,776.526123,426.302063,100.7024,624.731506,455.049255,67.729477,618.043091,315.48407,35.404766,586.774536,289.10379,18.348036,525.821472,284.808441,-16.503628,567.257202,264.984863,-71.673134,510.944794,389.115753,-134.65889,960.627075,392.942291,-297.140259,927.360229,414.880615,-391.415161,901.548767,461.604828,-375.746918,892.762939,371.520966,-372.636078,826.215942,361.560059,-370.130463,698.702637,366.944061,-318.618591,706.090271,370.743317,-313.407623,631.682251,450.019867,-50.280132,936.237549,356.200104,-47.139816,855.291199,340.55127,-65.52903,772.324463
32,0,443.374176,52.797779,896.233459,437.369263,99.941765,776.487,426.188446,100.775848,624.677795,454.942108,67.958023,618.030396,315.361969,35.491013,586.72876,289.088806,18.414837,525.653687,284.735992,-16.377848,567.21521,264.980957,-71.68354,510.913086,388.885895,-134.557709,960.55481,392.852448,-297.040131,927.211975,414.818359,-391.285065,901.376343,461.530029,-375.58606,892.560669,371.261963,-372.526825,826.247681,361.470398,-370.204559,698.453003,366.80481,-318.71463,705.852722,370.579651,-313.430786,631.448792,449.786926,-50.145653,936.098511,356.019806,-47.09618,855.105164,340.539307,-65.44986,772.254456
33,0,443.125549,52.946339,896.190857,437.097015,100.14518,776.434082,424.645966,105.321739,625.8125,454.871277,68.132027,617.971497,315.284912,35.56501,586.652588,289.071838,18.418142,525.718079,284.683929,-16.279348,567.17157,264.985291,-71.722008,510.905792,388.677643,-134.425079,960.455933,392.75116,-296.905212,927.057251,414.709991,-391.025574,901.240662,461.47229,-375.500946,892.323486,371.060394,-372.485077,826.220398,361.506165,-370.286621,698.112,366.686523,-318.866302,705.608398,370.435089,-313.358643,631.252686,449.51767,-49.852093,935.934448,355.878235,-47.071938,854.987976,340.475861,-65.376373,772.121704
34,0,442.92984,53.054543,896.167725,436.872986,100.346725,776.390564,426.126923,100.933334,624.569458,454.820953,68.319336,617.905945,315.242523,35.639919,586.573181,288.984528,18.462267,525.65332,284.688873,-16.209255,567.106873,264.999634,-71.656654,510.946442,388.503632,-134.593719,960.739502,392.654724,-296.802277,926.897705,414.610138,-390.970093,901.055847,461.243042,-375.325134,892.034058,371.126984,-372.645203,825.656921,361.545349,-370.380798,697.786255,366.65921,-318.96814,705.350586,370.28241,-313.252716,631.113953,,,,355.813934,-46.728619,854.800598,340.427826,-65.334824,771.980469
35,0,442.696716,53.193726,896.128479,436.696777,100.479538,776.349915,424.399536,105.699356,625.739136,454.750946,68.498558,617.865784,315.171478,35.740372,586.466248,289.057892,18.474482,525.578186,284.724121,-16.07859,567.029175,265.011322,-71.670403,511.018402,388.31723,-134.497635,960.664551,392.513,-296.71817,926.771729,414.466248,-390.966766,900.832336,461.199249,-375.286957,891.918701,371.068604,-372.738098,825.339294,361.628845,-370.510742,697.393066,366.732117,-319.046417,705.117065,370.059845,-313.076019,630.987,449.204987,-49.890003,936.035583,355.686981,-46.781403,854.622925,340.367615,-65.288689,771.825134
36,0,442.452606,53.32061,896.07312,436.523071,100.620613,776.323059,424.350647,105.89006,625.697083,454.736938,68.677177,617.817505,315.167694,35.841686,586.399414,289.079956,18.493166,525.54657,284.764069,-15.962442,566.984497,265.044312,-71.655167,511.092957,388.132172,-134.415451,960.611084,392.354462,-296.633087,926.613708,414.308624,-390.806793,900.621948,461.097595,-375.21167,891.812195,370.832214,-372.726318,825.29895,361.679138,-370.602295,697.099426,366.805542,-319.141632,704.909058,369.786407,-312.857422,630.948303,448.908997,-49.473362,936.016663,355.612122,-46.60841,854.552551,340.34967,-65.175415,771.717896
37,0,442.280029,53.424885,896.058594,436.37738,100.760391,776.299744,424.314453,106.052055,625.657776,454.713898,68.860741,617.784058,315.190735,35.937313,586.286316,289.131897,18.542646,525.478821,284.840942,-15.8055,566.933777,265.064911,-71.68895,511.111084,387.966705,-134.314423,960.54364,392.200684,-296.561188,926.452942,414.188538,-390.692139,900.450623,461.010681,-375.123718,891.75116,370.715363,-372.735901,825.099487,361.674347,-370.627228,696.845459,366.804077,-319.219421,704.720337,369.476105,-312.653809,630.900818,448.674744,-49.348404,936.050598,355.568695,-46.346622,854.419434,340.274536,-65.167007,771.560242
38,0,442.056488,53.569408,896.02478,436.293091,100.820374,776.260376,424.316498,106.230621,625.613831,454.711487,69.034683,617.75592,315.25882,35.989838,586.194763,289.16037,18.580076,525.419189,284.93869,-15.641146,566.855591,265.031586,-71.69825,511.212524,387.795929,-134.245239,960.55072,392.05188,-296.483185,926.265625,414.118988,-390.603058,900.272217,460.876892,-374.969696,891.573242,370.532227,-372.675903,825.015747,361.67572,-370.664795,696.590881,366.783813,-319.322021,704.536621,369.100067,-312.418823,630.840698,448.473602,-49.202774,935.986877,355.543427,-46.189003,854.377625,340.266235,-65.123718,771.447815
