Trajectories
100
,,ValidationHealthy008:Rdeltoid,,,ValidationHealthy008:RMidArm,,,ValidationHealthy008:RElbRadial,,,ValidationHealthy008:RElbUlna,,,ValidationHealthy008:RMidForeArm,,,ValidationHealthy008:RWrist1,,,ValidationHealthy008:RWrist2,,,ValidationHealthy008:RFingerJoint,,,ValidationHealthy008:LDeltoid,,,ValidationHealthy008:LMidArm,,,ValidationHealthy008:LElbRadial,,,ValidationHealthy008:LElbUlna,,,ValidationHealthy008:LMidForearm,,,ValidationHealthy008:Lwrist1,,,ValidationHealthy008:LWrist2,,,ValidationHealthy008:LFingerJoint,,,ValidationHealthy008:C7,,,ValidationHealthy008:Neck,,,ValidationHealthy008:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
30,0,276.453,166.541,1124.14,297.094,318.15,1064.57,218.485,417.501,1004.91,293.356,414.624,1032.15,274.035,424.48,1135.97,239.191,469.109,1240.93,208.917,413.861,1233.44,249.828,411.103,1288.79,276.983,-102.595,1130.05,298.222,-281.878,1089.12,234.127,-386.713,1031.36,296.271,-381.628,1068.22,267.679,-370.563,1163.95,209.119,-385.186,1264.63,184.018,-331.047,1248.37,194.723,-319.485,1321.66,325.524,26.4447,1131.3,189.167,19.2213,1124.84,147.031,19.6943,995.261
31,0,276.47,166.529,1124.13,297.123,318.155,1064.48,218.469,417.44,1004.75,293.343,414.581,1031.98,274.057,424.531,1135.74,239.221,469.116,1240.72,208.969,413.901,1233.26,249.916,411.174,1288.59,277.002,-102.626,1130.07,298.364,-281.883,1088.91,234.245,-386.876,1031.17,296.442,-381.613,1067.93,267.823,-370.426,1163.56,209.34,-385.045,1264.33,184.124,-330.954,1247.96,194.822,-319.24,1321.2,325.525,26.4101,1131.31,189.195,19.2385,1124.86,147.023,19.6785,995.297
32,0,276.486,166.545,1124.12,297.152,318.15,1064.36,218.47,417.365,1004.56,293.395,414.581,1031.74,274.09,424.583,1135.5,239.312,469.188,1240.48,209.062,413.942,1233.05,250.012,411.284,1288.37,277.058,-102.654,1130.04,298.466,-281.881,1088.68,234.424,-386.841,1030.84,296.586,-381.596,1067.6,268.009,-370.347,1163.23,209.566,-384.885,1264.02,184.29,-330.91,1247.62,195.023,-319.021,1320.81,325.562,26.3829,1131.28,189.207,19.2385,1124.88,147.002,19.6642,995.329
33,0,276.486,166.549,1124.11,297.191,318.134,1064.23,218.511,417.273,1004.35,293.993,414.382,1031.42,274.155,424.608,1135.29,239.338,469.232,1240.21,209.124,414.019,1232.83,250.105,411.397,1288.14,277.076,-102.69,1130.02,298.545,-281.921,1088.46,234.544,-386.813,1030.47,296.751,-381.605,1067.26,268.177,-370.261,1162.89,209.758,-384.749,1263.71,184.502,-330.845,1247.31,195.224,-318.843,1320.43,325.498,26.283,1131.23,189.25,19.1717,1124.89,146.962,19.6812,995.376
34,0,276.497,166.567,1124.11,297.263,318.053,1064.12,218.583,417.189,1004.15,294.084,414.36,1031.16,274.223,424.635,1135.03,239.401,469.377,1239.94,209.2,414.124,1232.6,250.201,411.541,1287.9,277.112,-102.715,1129.96,298.614,-281.958,1088.24,234.659,-386.747,1030.12,296.874,-381.61,1066.94,268.364,-370.199,1162.58,209.959,-384.637,1263.42,184.73,-330.717,1247,195.478,-318.71,1320.11,325.548,26.2574,1131.23,189.255,19.1899,1124.88,146.921,19.7011,995.415
35,0,276.494,166.583,1124.08,297.364,318.007,1063.98,218.627,417.205,1003.9,294.366,414.124,1030.89,274.325,424.677,1134.79,239.488,469.514,1239.66,209.293,414.223,1232.38,250.306,411.664,1287.69,277.171,-102.735,1129.9,298.692,-282.005,1088.04,234.732,-386.802,1029.9,296.971,-381.582,1066.6,268.555,-370.16,1162.24,210.192,-384.565,1263.13,184.949,-330.574,1246.74,195.802,-318.629,1319.85,325.529,26.2071,1131.15,189.291,19.1941,1124.89,146.891,19.7095,995.458
36,0,276.501,166.647,1124.03,297.457,318.013,1063.81,218.721,417.045,1003.63,294.466,413.98,1030.67,274.404,424.73,1134.53,239.575,469.681,1239.38,209.337,414.354,1232.14,250.38,411.83,1287.5,277.196,-102.754,1129.84,298.733,-282.032,1087.84,234.834,-386.829,1029.71,297.057,-381.575,1066.33,268.712,-370.142,1161.97,210.38,-384.516,1262.89,185.17,-330.472,1246.51,196.193,-318.607,1319.67,325.561,26.2119,1131.13,189.315,19.1437,1124.86,146.891,19.7316,995.449
37,0,276.517,166.653,1123.99,297.475,317.917,1063.61,218.834,417.008,1003.4,294.538,413.995,1030.45,274.514,424.768,1134.28,239.684,469.802,1239.12,209.419,414.523,1231.91,250.437,411.998,1287.27,277.217,-102.744,1129.73,298.795,-282.017,1087.63,234.902,-386.81,1029.51,297.145,-381.562,1066.07,268.886,-370.132,1161.73,210.581,-384.507,1262.68,185.449,-330.405,1246.29,196.509,-318.554,1319.47,325.568,26.2082,1131.07,189.338,19.1233,1124.83,146.892,19.7043,995.441
38,0,276.545,166.669,1123.95,297.541,317.893,1063.45,218.924,417.008,1003.18,294.776,413.806,1030.23,274.592,424.845,1134.06,239.836,469.975,1238.9,209.474,414.673,1231.72,250.478,412.209,1287.03,277.236,-102.745,1129.68,298.867,-282.011,1087.47,234.961,-386.725,1029.22,297.248,-381.548,1065.84,269.041,-370.118,1161.53,210.787,-384.478,1262.49,185.701,-330.391,1246.17,196.791,-318.502,1319.3,325.033,26.1675,1130.85,189.35,19.1303,1124.8,146.886,19.6709,995.401
39,0,276.544,166.705,1123.89,297.621,317.914,1063.29,219.048,417.014,1003.02,295.075,413.579,1030.03,274.67,424.907,1133.85,239.91,470.172,1238.7,209.561,414.851,1231.52,250.527,412.407,1286.83,277.256,-102.758,1129.65,298.917,-281.969,1087.31,235.02,-386.666,1029.04,297.331,-381.536,1065.66,269.186,-370.123,1161.35,210.973,-384.478,1262.36,185.899,-330.349,1246.05,197.068,-318.474,1319.16,325.003,26.191,1130.79,189.346,19.1745,1124.75,146.92,19.649,995.378
